game,eyay,Codacabana,error404 ai,TakeTheMoneyAndRun,Bin busy,Non Deterministic,Teamers,AsianSuperNerds,Oasis,OPUSMOPUS,Claims Renaissance,Alpha,Nullpointer Naan,TBD,harissa eagles,Trust Nobody,makalu
1,-8273.70,13441.28,33436.19,-8273.70,13501.85,5683.04,-8273.70,-8273.70,-8273.70,-8273.70,-8273.70,-8273.70,-8273.70,-8273.70,-8273.70,-8273.70,-8273.70
2,-13417.59,23796.51,38238.89,-7861.63,14223.43,2848.78,-11130.09,3377.04,-11617.16,-13417.59,-13417.59,-13417.59,-11527.96,-7819.86,-13417.59,-13417.59,-13417.59
3,-13417.59,23796.51,38642.33,-7903.35,14223.43,3248.78,-11130.09,3377.04,-12378.88,-13417.59,-13417.59,-13417.59,-11527.96,-7819.86,-13417.59,-13417.59,-13417.59
4,-20541.46,27643.51,48769.35,-8857.38,17743.66,9519.71,-15018.68,12392.09,-11679.25,-20541.46,-20541.46,-10291.49,-18472.77,-22347.66,-13087.53,-20541.46,-20541.46
5,-33606.39,28640.53,67724.77,-13454.07,7139.23,16149.02,-13337.92,13465.20,-12155.43,-11717.43,-33606.39,6113.90,-27388.76,-35155.22,-26152.46,-33606.39,-33606.39
6,-38648.93,35881.40,69007.40,-16737.39,3199.20,16362.99,-15566.19,7086.64,-11660.68,-3887.12,-25807.58,900.13,-25864.94,-44237.54,-19777.39,-38648.93,-38648.93
7,-28533.86,45172.68,85197.38,1000.45,-30369.21,22546.56,-23293.47,19361.98,-17329.10,-19719.33,-41639.79,-15710.48,-41697.16,-32700.31,-8003.58,-54481.14,-54481.14
8,-23383.39,53823.45,119503.10,34037.15,-110443.27,36803.87,-18008.66,31653.86,-19098.37,7350.86,-98544.26,-38841.19,-34406.38,-89604.77,-2110.35,-111385.60,-111385.60
9,1673.57,73318.46,109757.35,24657.34,-131840.10,32884.95,-13873.52,45260.21,-25684.76,-2992.70,-86544.44,-63928.09,-47995.14,-99948.34,-504.13,-97361.90,-121729.17
10,3322.58,35425.45,87149.09,45710.25,-192346.14,76869.44,-68183.01,-18026.70,-85653.04,79611.39,-152800.48,-47221.05,3582.29,-166204.38,16664.37,-136188.82,-187985.20
11,8312.26,-591.18,79705.32,68887.10,-228362.77,71781.11,-50858.46,-39379.31,-75992.20,73427.08,-162773.94,-34928.47,-10609.48,-173780.43,20689.18,-172205.46,-224001.84
12,34090.58,-13687.58,85489.64,89445.42,-271743.66,65489.90,-94239.34,-18302.94,-106031.89,64916.26,-174639.54,-23949.95,-25330.87,-186501.13,14141.43,-182578.25,-267382.72
13,25218.18,-7481.53,80091.64,85801.95,-274350.24,58637.63,-95532.52,-27665.54,-112942.80,68857.33,-171422.95,-25386.48,-29994.91,-199912.93,13089.14,-177801.83,-289514.59
14,26159.29,-5796.10,81284.39,86394.38,-276949.74,58755.01,-94173.15,-27063.60,-114958.97,67747.76,-172753.38,-25070.11,-31104.47,-201022.49,12729.41,-178911.39,-290624.16
15,41899.97,864.15,72750.60,72646.23,-295751.69,57731.00,-82955.34,-31932.47,-103089.89,56971.05,-181287.30,-28417.33,-29174.39,-245654.68,6467.28,-223543.58,-335256.34
16,42537.78,1254.15,74328.92,73336.23,-300473.01,57788.94,-82349.12,-31242.47,-103018.86,56971.05,-181287.30,-28417.33,-29174.39,-245654.68,6467.28,-223543.58,-335256.34
17,33048.40,-43207.57,92905.48,66637.22,-364262.26,45210.88,-109635.24,-79455.69,-112973.94,81112.23,-149666.30,-14936.26,-23375.77,-205455.50,-5834.29,-322323.59,-434036.35
18,42224.54,-61642.38,40418.33,65529.31,-401343.95,35215.67,-102358.07,-81086.04,-135970.19,79396.82,-138427.32,-18655.54,-7156.88,-189141.38,655.93,-374810.73,-486523.50
19,78099.84,-40003.61,27906.26,46521.18,-366935.85,18137.46,-109841.93,-84580.64,-130660.68,76214.20,-133428.47,-40418.62,-39178.47,-210904.46,11079.36,-396573.81,-508286.58
