game,avg a (active teams),avg b (active teams),avg a (top 3),avg b (top 3),Bin busy avg a,Bin busy avg b,avg derived t
1,192,72,284,76,154,168,227
2,158,56,191,77,159,94,145
3,127,50,127,50,-,50,50
4,185,86,193,106,124,159,91
5,211,96,178,106,344,146,196
6,506,331,701,589,45,56,428
7,509,328,582,387,-,-,365
8,200,132,190,150,260,0,201
9,310,158,395,196,150,272,126
10,833,296,787,378,120,37,"1,282"
11,155,75,143,100,-,31,184
12,266,180,330,216,-,39,386
13,94,62,69,68,492,62,122
14,52,20,40,16,150,35,30
15,125,72,116,74,133,159,173
16,315,46,465,39,-,-,39
