game,item,t bracket,t point,Bin busy a,Bin busy b,Bin busy a/t,Bin busy b/t,Bin busy net,eyay a,eyay b,eyay a/t,eyay b/t,eyay net,Codacabana a,Codacabana b,Codacabana a/t,Codacabana b/t,Codacabana net,Oasis a,Oasis b,Oasis a/t,Oasis b/t,Oasis net
94,1,"[0, 9)",4,24,4,5.66,1.00,24,17,4,3.85,1.00,17,18,4,4.28,1.00,18,-,4,-,1.00,0
94,2,"[0, 31)",16,131,16,8.35,1.00,131,59,16,3.79,1.00,119,40,16,2.58,1.00,81,32,36,2.01,2.29,32
94,3,"[0, 21)",10,-,10,-,1.00,0,112,10,10.86,1.00,225,-,10,-,1.00,0,21,31,2.00,2.96,41
94,4,"[319, ∞)",319,281,165,0.88,0.52,668,207,194,0.65,0.61,-442,257,266,0.81,0.84,964,216,230,0.68,0.72,15
94,5,"[172, 180)",176,166,114,0.94,0.65,"1,267",134,114,0.76,0.65,707,128,116,0.73,0.66,616,180,212,1.02,1.21,"-1,042"
94,6,"[0, 26)",13,56,13,4.28,1.00,501,79,73,6.09,5.63,6,87,117,6.73,8.98,-370,81,81,6.23,6.23,-144
95,1,"[500, 1,454)",977,380,368,0.39,0.38,669,500,972,0.51,1.00,"4,099",490,493,0.50,0.50,"3,686",486,977,0.50,1.00,"3,868"
95,2,"[1,351, ∞)","1,351","1,025","1,133",0.76,0.84,688,"1,351","1,321",1.00,0.98,"8,803","1,348","1,323",1.00,0.98,"8,746","1,264",785,0.94,0.58,"2,556"
95,3,"[650, ∞)",650,429,420,0.66,0.65,122,605,628,0.93,0.97,"4,464",650,605,1.00,0.93,"5,550",544,552,0.84,0.85,"2,826"
95,4,"[0, 5)",3,-,3,-,1.00,0,-,3,-,1.00,0,-,3,-,1.00,0,-,3,-,1.00,0
95,5,"[336, 349)",343,349,235,1.02,0.68,"-1,348",336,342,0.98,1.00,"3,222",336,330,0.98,0.96,"3,048",324,354,0.95,1.03,"2,663"
95,6,"[940, 961)",951,779,779,0.82,0.82,"4,882",940,924,0.99,0.97,"8,541",615,616,0.65,0.65,723,961,833,1.01,0.88,"-5,478"
95,7,"[618, 648)",633,512,300,0.81,0.47,"2,346",788,986,1.24,1.56,"-3,465",680,718,1.07,1.13,"-1,749",603,664,0.95,1.05,"5,102"
95,8,"[436, 550)",493,436,263,0.88,0.53,"3,220",255,92,0.52,0.19,-616,270,272,0.55,0.55,313,550,92,1.12,0.19,"-3,980"
96,1,"[106, 128)",117,58,63,0.50,0.54,453,128,118,1.09,1.01,755,180,194,1.54,1.66,-226,104,89,0.88,0.76,"1,311"
