game_id,line_items,weight,Codacabana,eyay,TakeTheMoneyAndRun,error404 ai,Bin busy,Non Deterministic,Teamers,AsianSuperNerds,Oasis,Claims Renaissance,Alpha,TBD,Nullpointer Naan,Trust Nobody,OPUSMOPUS,harissa eagles,makalu
1,18,1.0,13441.2800,-8273.7000,-8273.7000,33436.1900,13501.8550,5683.0350,-8273.7000,-8273.7000,-8273.7000,-8273.7000,-8273.7000,-8273.7000,-8273.7000,-8273.7000,-8273.7000,-8273.7000,-8273.7000
2,7,1.0,10355.2300,-5143.8900,412.0700,4802.7000,721.5800,-2834.2600,-2856.3900,11650.7400,-3343.4600,-5143.8900,-5143.8900,453.8400,-3254.2600,-5143.8900,-5143.8900,-5143.8900,-5143.8900
3,2,1.0,0.0000,0.0000,-41.7200,403.4400,0.0000,400.0000,0.0000,0.0000,-761.7200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,15,1.0,3847.0000,-7123.8750,-954.0300,10127.0200,3520.2250,6270.9300,-3888.5900,9015.0500,699.6350,-7123.8750,3126.1000,-14527.8000,-6944.8100,-7123.8750,-7123.8750,330.0600,-7123.8750
5,17,1.0,997.0150,-13064.9250,-4596.6900,18955.4200,-10604.4300,6629.3150,1680.7600,1073.1100,-476.1850,-13064.9250,16405.3900,-12807.5600,-8915.9950,-13064.9250,8824.0350,-13064.9250,-13064.9250
6,2,1.0,7240.8700,-5042.5350,-3283.3200,1282.6300,-3940.0350,213.9700,-2228.2750,-6378.5600,494.7500,7798.8100,-5213.7750,-9082.3200,1523.8200,-5042.5350,7830.3100,6375.0700,-5042.5350
7,6,1.0,9291.2850,10115.0600,17737.8350,16189.9800,-33568.4000,6183.5700,-7727.2700,12275.3400,-5668.4200,-15832.2150,-16610.6000,11537.2300,-15832.2150,-15832.2150,-15832.2150,11773.8100,-15832.2150
8,39,1.0,8650.7700,5150.4750,33036.7050,34305.7150,-80074.0600,14257.3100,5284.8050,12291.8800,-1769.2650,-56904.4650,-23130.7150,-56904.4650,7290.7800,-56904.4650,27070.1950,5893.2250,-56904.4650
9,16,1.0,19495.0050,25056.9550,-9379.8100,-9745.7450,-21396.8350,-3918.9200,4135.1400,13606.3550,-6586.3900,11999.8150,-25086.9000,-10343.5650,-13588.7600,14023.7000,-10343.5650,1606.2200,-10343.5650
10,6,1.0,-37893.0000,1649.0100,21052.9100,-22608.2650,-60506.0350,43984.4850,-54309.4900,-63286.9100,-59968.2900,-66256.0350,16707.0450,-66256.0350,51577.4350,-38826.9200,82604.0950,17168.5000,-66256.0350
11,22,1.0,-36016.6350,4989.6800,23176.8500,-7443.7700,-36016.6350,-5088.3300,17324.5550,-21352.6150,9660.8400,-9973.4650,12292.5750,-7576.0550,-14191.7750,-36016.6350,-6184.3150,4024.8100,-36016.6350
12,12,1.0,-13096.3950,25778.3200,20558.3150,5784.3200,-43380.8850,-6291.2100,-43380.8850,21076.3750,-30039.6850,-11865.6000,10978.5250,-12720.7000,-14721.3850,-10372.7900,-8510.8200,-6547.7500,-43380.8850
13,17,1.0,6206.0450,-8872.4000,-3643.4700,-5398.0000,-2606.5850,-6852.2700,-1293.1800,-9362.6000,-6910.9100,3216.5900,-1436.5350,-13411.7950,-4664.0400,4776.4200,3941.0700,-1052.2850,-22131.8700
14,13,1.0,1685.4350,941.1100,592.4350,1192.7500,-2599.4950,117.3850,1359.3750,601.9350,-2016.1700,-1330.4250,316.3750,-1109.5650,-1109.5650,-1109.5650,-1109.5650,-359.7350,-1109.5650
15,29,1.0,6660.2500,15740.6800,-13748.1550,-8533.7900,-18801.9550,-1024.0150,11217.8050,-4868.8700,11869.0850,-8533.9200,-3347.2200,-44632.1850,1930.0850,-44632.1850,-10776.7150,-6262.1250,-44632.1850
16,2,1.0,390.0000,637.8100,690.0000,1578.3200,-4721.3200,57.9400,606.2200,690.0000,71.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,20,1.0,-44461.7200,-9489.3800,-6699.0050,18576.5600,-63789.2450,-12578.0550,-27286.1200,-48213.2150,-9955.0800,31621.0000,13481.0700,40199.1750,5798.6150,-98780.0100,24141.1800,-12301.5800,-98780.0100
18,14,1.0,-18434.8100,9176.1450,-1107.9150,-52487.1450,-37081.6950,-9995.2100,7277.1750,-1630.3500,-22996.2500,11238.9750,-3719.2800,16314.1200,16218.8900,-52487.1450,-1715.4100,6490.2250,-52487.1450
19,9,1.0,21638.7650,35875.2950,-19008.1250,-12512.0700,34408.1000,-17078.2100,-7483.8650,-3494.6050,5309.5050,4998.8500,-21763.0800,-21763.0800,-32021.5900,-21763.0800,-3182.6150,10423.4300,-21763.0800
20,6,1.0,1492.8250,6275.7650,-15824.7500,14610.8500,12764.6200,2600.5300,3603.5150,-12026.2500,-11102.0800,-7373.4150,11107.2600,-22871.4100,-27613.2500,-27823.7200,13252.3300,-21330.0800,-28904.2500
21,2,1.0,1455.4200,2724.5600,-513.2300,-666.7100,3080.0000,1375.0200,-2125.7900,2640.0000,2084.6500,-708.7200,1123.2800,-4141.2000,-2210.0000,-2302.6400,0.0000,-1814.6400,0.0000
22,1,1.0,12475.3600,7729.3000,10000.0000,3561.5400,14840.0000,4000.0000,-25577.5000,9900.0000,4422.5000,2457.0000,-17577.5000,4422.5000,-9577.5000,-19577.5000,-9577.5000,8079.3000,0.0000
23,3,1.0,-1584.3150,1449.8050,2350.3250,829.7650,-820.5950,-5773.0950,1484.6400,542.1300,-2304.1550,1437.8500,-2242.2000,-1866.1400,2867.4600,-5773.0950,833.9400,-3782.4850,-5773.0950
24,11,1.0,40917.4100,-649.5650,23510.6650,-31485.6150,13012.8150,-48749.8500,-22401.7700,35805.8150,-11364.7200,-41435.6850,21279.6350,34591.2100,-6849.7700,-20714.7750,-40191.6350,-22554.8900,-41435.6850
25,15,1.0,-11049.4950,6047.5900,1532.9200,-977.2950,1464.0500,1802.4100,22617.6600,-54292.7250,7328.5900,-12341.5600,-20394.2000,-22532.2800,-10993.0900,-16752.7200,1101.6750,-9225.7500,-54292.7250
26,12,1.0,2562.9050,-2688.3350,-3751.3800,-6148.6100,-3930.3250,1763.0800,-8963.8650,-8500.9900,-1276.6500,-4249.6550,-9712.0950,-122.7400,-2678.4800,-7380.4500,1214.6550,3095.9250,-27401.3250
